CellNum	Stage	Mother/daughter	mtDNA rep observed	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Min	Max	X	Y	XM	YM	IntDen	Median	RawIntDen
				Slide2_020818_102	1	1	1	cytoplasm	EdU	25	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.116	47.158	13.868	19	98	6.847	13.492	6.847	13.495	5.485	46	14053
14	G1	M	1	Slide2_020818_103	1	1	1	cell	DAPI	26	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.1	52.782	41.563	8	255	4.9	9.262	4.898	9.504	480.339	40	1230657
				Slide2_020818_104	1	1	1	cell	EdU	27	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.1	48.979	16.348	9	139	4.9	9.262	4.879	9.289	445.734	47	1141998
				Slide2_020818_105	1	1	1	nuclei	DAPI	28	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.441	166.152	43.101	50	255	5.12	10.308	5.129	10.303	73.346	167	187918
				Slide2_020818_106	1	1	1	nuclei	EdU	29	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.441	62.521	17.665	18	135	5.12	10.308	5.118	10.295	27.599	61	70711
				Slide2_020818_107	1	1	1	cytoplasm	DAPI	30	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.132	42.345	13.15	14	99	5.954	9.038	5.953	9.036	5.603	41	14355
				Slide2_020818_108	1	1	1	cytoplasm	EdU	31	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.132	50.735	14.469	19	103	5.954	9.038	5.951	9.035	6.713	50	17199
15	G1	M		Slide2_020818_109	1	1	1	cell	DAPI	32	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	8.144	66.83	62.205	8	255	13.974	10.422	13.728	10.777	544.249	43	1394400
				Slide2_020818_110	1	1	1	cell	EdU	33	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	8.144	53.725	18.595	9	160	13.974	10.422	13.922	10.463	437.529	51	1120975
				Slide2_020818_111	1	1	1	nuclei	DAPI	34	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.03	206.403	43.867	52	255	13.409	11.145	13.4	11.141	212.602	215	544698
				Slide2_020818_112	1	1	1	nuclei	EdU	35	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.03	66.154	19.979	16	160	13.409	11.145	13.432	11.122	68.14	64	174580
				Slide2_020818_113	1	1	1	cytoplasm	DAPI	36	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.206	40.5	13.02	15	90	14.975	10.331	14.972	10.335	8.346	39	21384
